2026-07-10 09:26:31,253 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4346.78), 'lot': np.float64(0.09), 'stop_loss': np.float64(4341.13), 'take_profit': np.float64(4358.07), 'risk_percent': 1}
2026-07-10 09:26:31,253 | INFO | ORDER OPENED {'ticket': 'JQE-000005', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4346.83), 'lot': np.float64(0.09), 'stop_loss': np.float64(4341.13), 'take_profit': np.float64(4358.07), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 253482), 'status': 'OPEN'}
2026-07-10 09:26:31,253 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,254 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,254 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4347.51), 'lot': np.float64(0.09), 'stop_loss': np.float64(4342.22), 'take_profit': np.float64(4358.08), 'risk_percent': 1}
2026-07-10 09:26:31,254 | INFO | ORDER OPENED {'ticket': 'JQE-000006', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4347.56), 'lot': np.float64(0.09), 'stop_loss': np.float64(4342.22), 'take_profit': np.float64(4358.08), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 254318), 'status': 'OPEN'}
2026-07-10 09:26:31,254 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,255 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,255 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4348.92), 'lot': np.float64(0.1), 'stop_loss': np.float64(4343.88), 'take_profit': np.float64(4359.0), 'risk_percent': 1}
2026-07-10 09:26:31,255 | INFO | ORDER OPENED {'ticket': 'JQE-000007', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4348.97), 'lot': np.float64(0.1), 'stop_loss': np.float64(4343.88), 'take_profit': np.float64(4359.0), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 255300), 'status': 'OPEN'}
2026-07-10 09:26:31,255 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,255 | INFO | Market not suitable for trading
2026-07-10 09:26:31,256 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,256 | INFO | Market not suitable for trading
2026-07-10 09:26:31,257 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,257 | INFO | Market not suitable for trading
2026-07-10 09:26:31,257 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,258 | INFO | Market not suitable for trading
2026-07-10 09:26:31,258 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,258 | INFO | Market not suitable for trading
2026-07-10 09:26:31,259 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,259 | INFO | Market not suitable for trading
2026-07-10 09:26:31,260 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,260 | INFO | Market not suitable for trading
2026-07-10 09:26:31,260 | INFO | Market regime detected: NO_TRADE
