time,open,high,low,close,tick_volume,spread,real_volume
2026-07-29 22:15:00,63988.322,64106.169,63946.836,64015.511,4419,2424,0
2026-07-29 22:30:00,64015.798,64030.202,63891.861,63982.8,4116,2424,0
2026-07-29 22:45:00,63982.8,63999.4,63879.589,63915.689,3497,2424,0
2026-07-29 23:00:00,63915.69,63964.27,63868.927,63895.6,3631,2424,0
2026-07-29 23:15:00,63895.6,64043.8,63888.597,63979.604,4699,2424,0
2026-07-29 23:30:00,63979.604,64008.572,63898.72,63981.523,3872,2424,0
2026-07-29 23:45:00,63981.522,64033.2,63919.54,63957.207,4942,2424,0
2026-07-30 00:00:00,63957.209,64072.738,63953.351,64005.843,5624,2424,0
2026-07-30 00:15:00,64005.788,64095.753,63930.218,63978.755,4901,2424,0
2026-07-30 00:30:00,63978.755,63986.4,63668.349,63668.75,4790,2424,0
2026-07-30 00:45:00,63668.75,63729.907,63574.909,63672.651,4749,2424,0
2026-07-30 01:00:00,63672.488,63856.788,63661.989,63676.393,4879,2424,0
2026-07-30 01:15:00,63676.393,63819.013,63662.052,63808.653,4361,2424,0
2026-07-30 01:30:00,63808.653,64048.64,63808.503,64032.544,5043,2424,0
2026-07-30 01:45:00,64032.544,64349.778,64014.221,64244.367,5110,2424,0
2026-07-30 02:00:00,64244.367,64371.101,64210.791,64302.0,4657,2424,0
2026-07-30 02:15:00,64302.0,64392.088,64270.792,64326.124,3733,2424,0
2026-07-30 02:30:00,64326.123,64331.17,64188.29,64295.485,4503,2424,0
2026-07-30 02:45:00,64295.482,64295.498,64137.798,64162.786,4306,2424,0
2026-07-30 03:00:00,64162.786,64245.9,64107.458,64173.3,4455,2424,0
2026-07-30 03:15:00,64173.3,64281.228,64164.8,64242.668,3996,2424,0
2026-07-30 03:30:00,64242.909,64243.1,64112.209,64133.3,4945,2424,0
2026-07-30 03:45:00,64132.862,64197.8,64127.391,64132.738,4238,2424,0
2026-07-30 04:00:00,64132.738,64151.7,64074.5,64099.187,4353,2424,0
2026-07-30 04:15:00,64099.188,64109.672,64063.849,64074.299,3875,2424,0
2026-07-30 04:30:00,64074.295,64134.922,64027.198,64068.744,4400,2424,0
2026-07-30 04:45:00,64068.77,64121.168,63978.142,63997.343,4630,2424,0
2026-07-30 05:00:00,63997.343,64015.341,63905.808,63955.675,5046,2424,0
2026-07-30 05:15:00,63955.675,63988.228,63879.603,63983.488,4897,2424,0
2026-07-30 05:30:00,63983.488,64155.605,63969.696,64091.842,5152,2424,0
2026-07-30 05:45:00,64092.025,64131.65,63968.346,64012.022,4419,2424,0
2026-07-30 06:00:00,64012.022,64053.295,63953.561,63969.648,4770,2424,0
2026-07-30 06:15:00,63969.641,64053.623,63938.489,64053.498,4062,2424,0
2026-07-30 06:30:00,64053.588,64053.634,63945.793,63981.9,3782,2424,0
2026-07-30 06:45:00,63981.9,63996.635,63928.374,63973.37,4111,2424,0
2026-07-30 07:00:00,63973.37,64121.152,63964.928,64032.072,4986,2424,0
2026-07-30 07:15:00,64032.072,64119.21,63960.15,64036.147,4582,2424,0
2026-07-30 07:30:00,64035.967,64042.1,63912.391,64013.489,4263,2424,0
2026-07-30 07:45:00,64012.454,64014.2,63951.445,63980.732,4415,2424,0
2026-07-30 08:00:00,63980.732,64042.216,63948.647,63976.854,5033,2424,0
2026-07-30 08:15:00,63976.854,64325.756,63949.788,64239.42,5010,2424,0
2026-07-30 08:30:00,64239.42,64323.231,64203.839,64322.119,5452,2424,0
2026-07-30 08:45:00,64322.088,64331.3,64259.7,64279.236,4810,2424,0
2026-07-30 09:00:00,64279.236,64393.684,64254.969,64383.188,4657,2424,0
2026-07-30 09:15:00,64383.159,64507.549,64361.192,64469.147,5042,2424,0
2026-07-30 09:30:00,64469.14,64616.607,64468.515,64570.522,4776,2424,0
2026-07-30 09:45:00,64570.522,64616.062,64548.838,64548.838,4316,2424,0
2026-07-30 10:00:00,64548.838,64608.448,64542.567,64547.701,3558,2424,0
2026-07-30 10:15:00,64547.701,64611.285,64543.848,64599.524,3568,2424,0
2026-07-30 10:30:00,64599.524,64603.529,64537.244,64590.154,4004,2424,0
2026-07-30 10:45:00,64590.154,64595.324,64544.259,64547.548,3986,2424,0
2026-07-30 11:00:00,64547.549,64603.744,64513.924,64580.263,3746,2424,0
2026-07-30 11:15:00,64580.263,64645.231,64543.936,64552.531,4080,2424,0
2026-07-30 11:30:00,64552.537,64691.838,64522.268,64636.951,3647,2424,0
2026-07-30 11:45:00,64636.951,64868.738,64621.945,64765.149,4193,2424,0
2026-07-30 12:00:00,64765.268,65008.101,64764.148,64959.481,3665,2424,0
2026-07-30 12:15:00,64959.481,64998.776,64833.2,64853.637,4346,2424,0
2026-07-30 12:30:00,64853.638,64921.848,64809.346,64809.43,4553,2424,0
2026-07-30 12:45:00,64809.43,64916.186,64809.422,64890.979,3870,2424,0
2026-07-30 13:00:00,64890.979,64934.7,64798.438,64816.474,4478,2424,0
2026-07-30 13:15:00,64816.474,64856.1,64784.7,64808.644,3949,2424,0
2026-07-30 13:30:00,64808.644,64995.59,64661.715,64990.136,6106,2424,0
2026-07-30 13:45:00,64990.138,65155.878,64958.998,64994.739,6400,2424,0
2026-07-30 14:00:00,64994.718,65014.264,64686.261,64699.912,5968,2424,0
2026-07-30 14:15:00,64699.912,64828.081,64587.238,64749.851,6023,2424,0
2026-07-30 14:30:00,64749.852,64835.037,64698.978,64770.739,5661,2424,0
2026-07-30 14:45:00,64770.744,64817.415,64602.037,64648.227,5600,2424,0
2026-07-30 15:00:00,64648.227,64797.471,64570.11,64690.834,5586,2424,0
2026-07-30 15:15:00,64691.113,64860.253,64651.007,64653.694,5460,2424,0
2026-07-30 15:30:00,64653.229,64748.331,64599.343,64729.234,5357,2424,0
2026-07-30 15:45:00,64729.2,64768.774,64658.507,64693.365,4605,2424,0
2026-07-30 16:00:00,64693.365,64932.177,64692.403,64898.271,5097,2424,0
2026-07-30 16:15:00,64898.276,64918.769,64808.007,64851.141,4829,2424,0
2026-07-30 16:30:00,64851.326,64869.4,64731.359,64739.838,5279,2424,0
2026-07-30 16:45:00,64739.838,64817.092,64739.838,64784.078,4758,2424,0
2026-07-30 17:00:00,64784.081,64838.952,64736.636,64769.235,4258,2424,0
2026-07-30 17:15:00,64769.235,64930.657,64756.652,64909.201,4499,2424,0
2026-07-30 17:30:00,64909.201,64956.03,64789.081,64918.177,4480,2424,0
2026-07-30 17:45:00,64918.177,64919.4,64820.354,64841.022,4012,2424,0
2026-07-30 18:00:00,64839.771,64870.328,64786.209,64789.689,3892,2424,0
2026-07-30 18:15:00,64789.689,64789.689,64717.156,64764.594,3708,2424,0
2026-07-30 18:30:00,64764.594,64790.4,64678.558,64703.349,3754,2424,0
2026-07-30 18:45:00,64703.349,64703.909,64656.109,64667.647,3418,2424,0
2026-07-30 19:00:00,64667.647,64834.719,64667.27,64802.309,3693,2424,0
2026-07-30 19:15:00,64802.309,64874.4,64773.557,64854.681,3998,2424,0
2026-07-30 19:30:00,64854.911,64855.112,64795.991,64808.345,3995,2424,0
2026-07-30 19:45:00,64808.345,64833.754,64748.622,64773.374,4412,2424,0
2026-07-30 20:00:00,64776.19,64907.883,64753.616,64763.921,5046,2424,0
2026-07-30 20:15:00,64763.923,64848.688,64736.248,64763.26,4012,2424,0
2026-07-30 20:30:00,64763.26,64856.89,64721.68,64845.963,3899,2424,0
2026-07-30 20:45:00,64845.436,64864.371,64748.722,64748.92,3345,2424,0
2026-07-30 21:00:00,64748.919,64779.584,64708.013,64729.237,1220,2424,0
2026-07-30 21:15:00,64729.237,64738.088,64719.74,64723.939,2562,2424,0
2026-07-30 21:30:00,64723.939,64773.682,64718.332,64738.344,2146,2424,0
2026-07-30 21:45:00,64738.37,64749.4,64676.897,64705.208,2404,2424,0
2026-07-30 22:00:00,64705.208,64952.409,64634.948,64907.024,4109,2424,0
2026-07-30 22:15:00,64907.025,64977.816,64873.532,64974.906,4191,2424,0
2026-07-30 22:30:00,64974.907,64994.081,64841.729,64886.039,3919,2424,0
2026-07-30 22:45:00,64886.039,64899.4,64813.369,64825.668,3780,2424,0
2026-07-30 23:00:00,64825.654,64919.236,64802.963,64916.54,4076,2424,0
2026-07-30 23:15:00,64916.54,64921.898,64868.002,64905.135,3399,2424,0
2026-07-30 23:30:00,64905.058,65061.728,64748.691,64787.789,4487,2424,0
2026-07-30 23:45:00,64787.792,64865.485,64710.399,64749.012,3725,2424,0
